O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Interest Area,Second Interest Area,Third Interest Area,Shown in Fewer Occupations
CSE,2,43-2021.00,Telephone Operators,,,
CE,2,43-3071.00,Tellers,,,
CE,2,23-2093.00,Title Examiners,Abstractors,and Searchers,
CR,2,33-9093.00,Transportation Security Screeners,,,
CR,2,43-5111.00,Weighers,Measurers,Checkers,
C,2,43-9022.00,Word Processors and Typists,,,
RC,2,35-2021.00,Food Preparation Workers,,,
CRE,3,53-2021.00,Air Traffic Controllers,,,
CRE,3,53-2022.00,Airfield Operations Specialists,,,
CRI,3,53-6051.01,Aviation Inspectors,,,
C,3,43-3021.00,Billing and Posting Clerks,,,
CE,3,43-3031.00,Bookkeeping,Accounting,and Auditing Clerks,
CR,3,27-4012.00,Broadcast Technicians,,,
CE,3,43-4011.00,Brokerage Clerks,,,
CRI,3,51-9162.00,Computer Numerically Controlled Tool Programmers,,,
CRI,3,15-1232.00,Computer User Support Specialists,,,
C,3,27-3092.00,Court Reporters and Simultaneous Captioners,,,
CER,3,33-3051.04,Customs and Border Protection Officers,,,
CE,3,13-1041.08,Customs Brokers,,,
CRS,3,31-9091.00,Dental Assistants,,,
CA,3,43-9031.00,Desktop Publishers,,,
CSE,3,43-4061.00,Eligibility Interviewers,Government Programs,,
CRI,3,47-4011.01,Energy Auditors,,,
CES,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,,,
CIR,3,15-1299.02,Geographic Information Systems Technologists and Technicians,,,
CE,3,13-1041.04,Government Property Inspectors and Investigators,,,
CIS,3,29-9021.00,Health Information Technologists and Medical Registrars,,,
CES,3,43-4161.00,Human Resources Assistants,Except Payroll and Timekeeping,,
CRE,3,13-1032.00,Insurance Appraisers,Auto Damage,,
CSE,3,43-4111.00,Interviewers,Except Eligibility and Loan,,
CE,3,43-6012.00,Legal Secretaries and Administrative Assistants,,,
CS,3,25-4031.00,Library Technicians,,,
CES,3,43-4131.00,Loan Interviewers and Clerks,,,
CSR,3,31-9092.00,Medical Assistants,,,
CI,3,29-2072.00,Medical Records Specialists,,,
CSI,3,31-9094.00,Medical Transcriptionists,,,
CES,3,39-4031.00,Morticians,Undertakers,and Funeral Arrangers,
CES,3,43-4141.00,New Accounts Clerks,,,
CR,3,29-2081.00,Opticians,Dispensing,,
CIE,3,23-2011.00,Paralegals and Legal Assistants,,,
CE,3,43-3051.00,Payroll and Timekeeping Clerks,,,
CR,3,29-2052.00,Pharmacy Technicians,,,
CRI,3,33-3021.02,Police Identification and Records Officers,,,
CR,3,51-5111.00,Prepress Technicians and Workers,,,
CEI,3,33-9021.00,Private Detectives and Investigators,,,
CIR,3,19-4099.01,Quality Control Analysts,,,
CE,3,13-2081.00,Tax Examiners and Collectors,and Revenue Agents,,
CE,3,13-2082.00,Tax Preparers,,,
CRI,3,15-1241.01,Telecommunications Engineering Specialists,,,
CI,3,15-1254.00,Web Developers,,,
CEI,4,13-2011.00,Accountants and Auditors,,,
CIE,4,15-2011.00,Actuaries,,,
CE,4,13-2023.00,Appraisers and Assessors of Real Estate,,,
CER,4,13-2022.00,Appraisers of Personal and Business Property,,,
CRE,4,11-3051.04,Biomass Power Plant Managers,,,
CI,4,15-1299.07,Blockchain Engineers,,,
CER,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,
CEI,4,13-2031.00,Budget Analysts,,,
CIE,4,15-2051.01,Business Intelligence Analysts,,,
CIR,4,17-1021.00,Cartographers and Photogrammetrists,,,
CEI,4,13-1031.00,Claims Adjusters,Examiners,and Investigators,
CI,4,15-2051.02,Clinical Data Managers,,,
CEI,4,13-1141.00,Compensation,Benefits,and Job Analysis Specialists,
CE,4,11-9199.02,Compliance Managers,,,
CE,4,13-1041.00,Compliance Officers,,,
CEI,4,11-3021.00,Computer and Information Systems Managers,,,
CIR,4,15-1231.00,Computer Network Support Specialists,,,
CI,4,15-1251.00,Computer Programmers,,,
CE,4,13-1051.00,Cost Estimators,,,
CEI,4,13-2041.00,Credit Analysts,,,
CSE,4,13-2071.00,Credit Counselors,,,
CI,4,15-1243.01,Data Warehousing Specialists,,,
CI,4,15-1242.00,Database Administrators,,,
CI,4,15-1243.00,Database Architects,,,
CI,4,15-1299.03,Document Management Specialists,,,
CIR,4,13-1041.01,Environmental Compliance Inspectors,,,
CEI,4,13-2051.00,Financial and Investment Analysts,,,
CEI,4,13-2061.00,Financial Examiners,,,
CIE,4,13-2054.00,Financial Risk Specialists,,,
CEI,4,13-2099.04,Fraud Examiners,Investigators and Analysts,,
CIR,4,17-2112.00,Industrial Engineers,,,
CI,4,15-1212.00,Information Security Analysts,,,
CIR,4,15-1299.05,Information Security Engineers,,,
CEI,4,13-2053.00,Insurance Underwriters,,,
CAS,4,27-3091.00,Interpreters and Translators,,,
CES,4,13-2072.00,Loan Officers,,,
CEI,4,13-1081.00,Logisticians,,,
CEI,4,13-1081.02,Logistics Analysts,,,
CIR,4,13-1081.01,Logistics Engineers,,,
CE,4,11-9199.08,Loss Prevention Managers,,,
CIE,4,13-1111.00,Management Analysts,,,
CRI,4,15-1244.00,Network and Computer Systems Administrators,,,
CE,4,13-1199.06,Online Merchants,,,
CA,4,43-9081.00,Proofreaders and Copy Markers,,,
CER,4,13-1023.00,Purchasing Agents,Except Wholesale,Retail,
CEI,4,11-3051.01,Quality Control Systems Managers,,,
CRI,4,17-2072.01,Radio Frequency Identification Device Specialists,,,
CEI,4,13-1041.07,Regulatory Affairs Specialists,,,
CIR,4,13-1199.07,Security Management Specialists,,,
CI,4,43-9111.00,Statistical Assistants,,,
CRI,4,17-1022.00,Surveyors,,,
CAI,4,27-3042.00,Technical Writers,,,
CR,4,53-6051.00,Transportation Inspectors,,,
CIE,4,15-1299.01,Web Administrators,,,
CEI,5,23-1021.00,Administrative Law Judges,Adjudicators,and Hearing Officers,
CI,5,25-4011.00,Archivists,,,
CE,5,25-4012.00,Curators,,,
CEI,5,23-1012.00,Judicial Law Clerks,,,
CSI,5,25-4022.00,Librarians and Media Collections Specialists,,,
SCI,5,29-1071.01,Anesthesiologist Assistants,,,
ECS,5,23-1022.00,Arbitrators,Mediators,and Conciliators,
IC,5,15-2041.01,Biostatisticians,,,
ICR,5,15-1221.00,Computer and Information Research Scientists,,,
ICE,5,19-3011.00,Economists,,,
IC,5,13-2099.01,Financial Quantitative Analysts,,,
ICR,5,19-1029.03,Geneticists,,,
ECI,5,11-3031.03,Investment Fund Managers,,,
ECI,5,23-1011.00,Lawyers,,,
IC,5,15-2021.00,Mathematicians,,,
IC,5,15-2031.00,Operations Research Analysts,,,
ICR,5,29-1224.00,Radiologists,,,
IC,5,15-2041.00,Statisticians,,,
IC,5,19-3022.00,Survey Researchers,,,
SC,5,25-9044.00,Teaching Assistants,Postsecondary,,
