O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Job Family
29-1213.00,Dermatologists,1.76,3.65,1.76,2.0,6.29,5.55,1.0,4.29,4.0,Healthcare Practitioners and Technical
29-1214.00,Emergency Medicine Physicians,1.0,4.18,2.74,2.0,5.64,4.18,4.0,5.56,6.0,Healthcare Practitioners and Technical
29-1215.00,Family Medicine Physicians,1.45,3.95,2.34,4.0,6.08,3.75,2.0,6.21,0.0,Healthcare Practitioners and Technical
29-1216.00,General Internal Medicine Physicians,1.42,3.66,2.11,2.0,6.83,4.38,4.0,6.13,1.0,Healthcare Practitioners and Technical
29-1217.00,Neurologists,2.09,3.63,2.42,2.0,7.0,3.91,4.0,5.32,0.0,Healthcare Practitioners and Technical
29-1218.00,Obstetricians and Gynecologists,1.34,4.14,2.61,2.0,5.41,4.57,4.0,5.4,1.0,Healthcare Practitioners and Technical
29-1221.00,"Pediatricians, General",1.77,3.53,2.49,4.0,6.2,3.76,2.0,6.63,0.0,Healthcare Practitioners and Technical
29-1222.00,"Physicians, Pathologists",1.2,4.57,1.4,2.0,7.0,5.36,1.0,3.46,6.0,Healthcare Practitioners and Technical
29-1223.00,Psychiatrists,2.72,3.9,2.12,2.0,6.37,2.14,4.0,5.98,0.0,Healthcare Practitioners and Technical
29-1224.00,Radiologists,1.19,4.8,2.14,2.0,6.6,4.76,6.0,3.91,1.0,Healthcare Practitioners and Technical
29-1229.01,Allergists and Immunologists,1.68,3.54,2.23,2.0,6.92,4.09,4.0,5.1,1.0,Healthcare Practitioners and Technical
29-1229.02,Hospitalists,1.55,4.15,3.14,4.0,4.68,3.63,2.0,6.05,6.0,Healthcare Practitioners and Technical
29-1229.03,Urologists,1.23,3.42,2.31,2.0,6.9,5.16,1.0,5.16,4.0,Healthcare Practitioners and Technical
29-1229.04,Physical Medicine and Rehabilitation Physicians,2.02,2.98,1.71,2.0,6.36,4.55,4.0,5.97,1.0,Healthcare Practitioners and Technical
29-1229.05,Preventive Medicine Physicians,1.84,3.34,2.36,2.0,6.82,3.28,4.0,5.39,0.0,Healthcare Practitioners and Technical
29-1229.06,Sports Medicine Physicians,1.26,3.48,3.29,2.0,5.49,5.07,4.0,5.26,1.0,Healthcare Practitioners and Technical
29-1241.00,"Ophthalmologists, Except Pediatric",1.62,3.72,2.86,2.0,6.33,4.78,4.0,5.28,1.0,Healthcare Practitioners and Technical
29-1242.00,"Orthopedic Surgeons, Except Pediatric",1.48,3.89,2.35,2.0,6.5,5.07,1.0,4.82,4.0,Healthcare Practitioners and Technical
29-1243.00,Pediatric Surgeons,1.55,3.91,2.43,2.0,6.52,4.95,4.0,4.99,1.0,Healthcare Practitioners and Technical
29-1291.00,Acupuncturists,2.12,3.11,1.77,4.0,5.32,4.6,2.0,5.7,1.0,Healthcare Practitioners and Technical
29-1292.00,Dental Hygienists,1.18,4.29,1.67,4.0,4.68,5.14,1.0,5.46,2.0,Healthcare Practitioners and Technical
29-1299.01,Naturopathic Physicians,1.92,3.58,1.99,2.0,5.93,4.14,4.0,5.78,1.0,Healthcare Practitioners and Technical
29-1299.02,Orthoptists,2.06,3.81,1.64,2.0,5.57,4.68,1.0,4.65,4.0,Healthcare Practitioners and Technical
29-2011.00,Medical and Clinical Laboratory Technologists,1.11,4.99,1.55,2.0,6.17,5.78,1.0,2.8,6.0,Healthcare Practitioners and Technical
29-2011.01,Cytogenetic Technologists,1.47,5.07,1.55,2.0,5.96,5.37,1.0,1.89,6.0,Healthcare Practitioners and Technical
29-2011.02,Cytotechnologists,1.15,4.87,1.77,2.0,6.11,5.86,1.0,2.54,6.0,Healthcare Practitioners and Technical
29-2011.04,Histotechnologists,1.21,5.21,1.07,2.0,6.62,5.79,1.0,2.78,6.0,Healthcare Practitioners and Technical
29-2012.00,Medical and Clinical Laboratory Technicians,1.0,4.86,1.0,1.0,5.87,6.02,2.0,2.86,6.0,Healthcare Practitioners and Technical
29-2012.01,Histology Technicians,1.27,5.12,1.0,1.0,5.4,6.45,2.0,2.13,6.0,Healthcare Practitioners and Technical
29-2031.00,Cardiovascular Technologists and Technicians,1.0,4.62,1.33,1.0,5.39,5.51,2.0,4.27,6.0,Healthcare Practitioners and Technical
29-2032.00,Diagnostic Medical Sonographers,1.17,5.14,1.51,1.0,4.71,5.96,6.0,4.15,2.0,Healthcare Practitioners and Technical
29-2033.00,Nuclear Medicine Technologists,1.0,5.2,1.31,1.0,5.57,5.99,2.0,3.08,6.0,Healthcare Practitioners and Technical
29-2034.00,Radiologic Technologists and Technicians,1.0,4.87,1.0,1.0,4.63,6.25,6.0,3.58,2.0,Healthcare Practitioners and Technical
29-2035.00,Magnetic Resonance Imaging Technologists,1.0,4.93,1.24,1.0,4.71,5.41,6.0,3.42,2.0,Healthcare Practitioners and Technical
29-2036.00,Medical Dosimetrists,1.38,4.94,2.12,2.0,5.24,4.47,6.0,3.68,1.0,Healthcare Practitioners and Technical
29-2042.00,Emergency Medical Technicians,1.0,3.82,1.54,4.0,4.55,5.45,1.0,5.59,2.0,Healthcare Practitioners and Technical
29-2043.00,Paramedics,1.0,3.44,1.85,4.0,5.04,5.24,1.0,5.47,2.0,Healthcare Practitioners and Technical
29-2051.00,Dietetic Technicians,2.45,3.68,2.46,4.0,3.46,3.84,1.0,5.34,6.0,Healthcare Practitioners and Technical
29-2052.00,Pharmacy Technicians,1.0,7.0,2.55,6.0,3.13,4.06,1.0,3.36,0.0,Healthcare Practitioners and Technical
29-2053.00,Psychiatric Technicians,2.09,3.63,1.38,4.0,4.63,3.43,2.0,6.71,0.0,Healthcare Practitioners and Technical
29-2055.00,Surgical Technologists,1.0,4.85,1.61,1.0,3.22,6.26,6.0,3.82,4.0,Healthcare Practitioners and Technical
29-2056.00,Veterinary Technologists and Technicians,1.0,4.56,1.0,1.0,5.26,6.71,2.0,3.02,6.0,Healthcare Practitioners and Technical
29-2057.00,Ophthalmic Medical Technicians,1.0,4.81,1.64,1.0,4.76,5.37,6.0,4.47,2.0,Healthcare Practitioners and Technical
29-2061.00,Licensed Practical and Licensed Vocational Nurses,1.07,4.57,2.13,4.0,3.67,4.58,1.0,5.51,6.0,Healthcare Practitioners and Technical
29-2072.00,Medical Records Specialists,1.0,6.97,1.88,6.0,4.33,2.86,2.0,3.38,0.0,Healthcare Practitioners and Technical
29-2081.00,"Opticians, Dispensing",1.44,5.48,3.27,6.0,2.23,4.31,1.0,3.03,0.0,Healthcare Practitioners and Technical
29-2091.00,Orthotists and Prosthetists,2.15,3.6,1.59,1.0,5.1,5.77,2.0,4.43,4.0,Healthcare Practitioners and Technical
29-2092.00,Hearing Aid Specialists,1.79,4.21,1.81,4.0,4.37,3.67,2.0,4.74,6.0,Healthcare Practitioners and Technical
29-2099.01,Neurodiagnostic Technologists,1.47,4.54,1.32,2.0,5.7,5.28,1.0,3.58,6.0,Healthcare Practitioners and Technical
29-2099.05,Ophthalmic Medical Technologists,1.19,4.68,2.01,1.0,4.72,5.43,2.0,4.3,6.0,Healthcare Practitioners and Technical
29-2099.08,Patient Representatives,1.58,3.72,3.07,4.0,4.05,1.29,2.0,6.74,6.0,Healthcare Practitioners and Technical
29-9021.00,Health Information Technologists and Medical Registrars,1.19,5.96,2.2,6.0,5.18,2.48,2.0,3.8,4.0,Healthcare Practitioners and Technical
29-9091.00,Athletic Trainers,1.09,3.32,2.27,4.0,4.39,5.54,1.0,5.7,2.0,Healthcare Practitioners and Technical
29-9092.00,Genetic Counselors,2.34,3.89,2.73,2.0,5.86,1.66,4.0,5.45,6.0,Healthcare Practitioners and Technical
29-9093.00,Surgical Assistants,1.0,4.44,1.76,1.0,3.47,5.7,6.0,3.83,4.0,Healthcare Practitioners and Technical
29-9099.01,Midwives,1.78,3.57,2.69,4.0,3.88,3.78,2.0,5.99,1.0,Healthcare Practitioners and Technical
31-1121.00,Home Health Aides,1.49,3.52,1.76,4.0,3.18,4.21,1.0,6.33,6.0,Healthcare Support
31-1122.00,Personal Care Aides,1.8,3.82,2.56,4.0,1.82,3.62,6.0,6.21,1.0,Healthcare Support
31-1131.00,Nursing Assistants,1.0,4.22,1.76,4.0,2.73,4.6,1.0,5.72,6.0,Healthcare Support
31-1132.00,Orderlies,1.0,4.43,1.22,1.0,2.21,5.49,6.0,4.34,4.0,Healthcare Support
31-1133.00,Psychiatric Aides,1.81,3.97,1.84,4.0,4.03,3.63,2.0,6.63,6.0,Healthcare Support
31-2011.00,Occupational Therapy Assistants,2.14,3.83,1.11,4.0,3.47,3.65,6.0,6.27,1.0,Healthcare Support
31-2012.00,Occupational Therapy Aides,1.69,3.72,1.82,4.0,2.55,3.91,1.0,6.0,6.0,Healthcare Support
31-2021.00,Physical Therapist Assistants,1.53,3.78,1.35,4.0,3.65,4.46,1.0,6.41,6.0,Healthcare Support
31-2022.00,Physical Therapist Aides,1.09,3.88,2.04,4.0,2.55,4.87,1.0,5.85,6.0,Healthcare Support
31-9011.00,Massage Therapists,2.26,2.63,2.07,4.0,3.86,4.77,1.0,5.75,2.0,Healthcare Support
31-9091.00,Dental Assistants,1.0,5.46,1.34,6.0,3.55,4.49,1.0,4.35,4.0,Healthcare Support
31-9092.00,Medical Assistants,1.0,5.76,1.98,6.0,3.8,4.06,4.0,4.81,1.0,Healthcare Support
31-9093.00,Medical Equipment Preparers,1.0,5.53,1.0,1.0,3.42,6.81,6.0,2.27,2.0,Healthcare Support
31-9094.00,Medical Transcriptionists,1.75,6.22,1.22,6.0,3.58,2.46,4.0,3.69,2.0,Healthcare Support
31-9095.00,Pharmacy Aides,1.0,6.83,3.87,6.0,1.51,3.63,5.0,3.15,1.0,Healthcare Support
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,1.0,3.94,1.0,1.0,4.24,6.31,2.0,3.49,6.0,Healthcare Support
31-9097.00,Phlebotomists,1.0,5.43,1.44,1.0,4.54,5.55,6.0,3.69,2.0,Healthcare Support
31-9099.01,Speech-Language Pathology Assistants,2.84,4.82,1.53,4.0,4.38,2.26,6.0,5.53,2.0,Healthcare Support
31-9099.02,Endoscopy Technicians,1.0,4.92,1.05,1.0,4.11,6.32,6.0,3.29,2.0,Healthcare Support
33-1011.00,First-Line Supervisors of Correctional Officers,1.0,5.01,6.42,5.0,1.81,3.47,6.0,4.58,4.0,Protective Service
33-1012.00,First-Line Supervisors of Police and Detectives,1.1,5.17,7.0,5.0,2.3,3.31,6.0,3.87,4.0,Protective Service
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,1.0,4.67,6.15,5.0,2.25,5.14,1.0,3.72,6.0,Protective Service
33-1091.00,First-Line Supervisors of Security Workers,1.0,5.16,5.9,5.0,1.76,4.16,6.0,3.56,1.0,Protective Service
33-2011.00,Firefighters,1.3,3.46,3.01,1.0,2.91,6.52,0.0,3.4,0.0,Protective Service
33-2021.00,Fire Inspectors and Investigators,1.03,5.18,3.3,1.0,4.35,5.44,6.0,2.59,2.0,Protective Service
33-2022.00,Forest Fire Inspectors and Prevention Specialists,1.19,4.51,3.38,1.0,3.67,6.19,6.0,3.33,0.0,Protective Service
33-3011.00,Bailiffs,1.0,4.88,3.83,1.0,2.13,5.04,6.0,3.01,5.0,Protective Service
33-3012.00,Correctional Officers and Jailers,1.01,4.7,3.21,1.0,1.71,5.35,6.0,3.89,4.0,Protective Service
33-3021.00,Detectives and Criminal Investigators,1.2,4.83,4.04,2.0,4.9,4.18,6.0,2.73,1.0,Protective Service
33-3021.02,Police Identification and Records Officers,1.55,5.81,3.05,6.0,3.87,4.43,1.0,2.04,2.0,Protective Service
33-3021.06,Intelligence Analysts,2.18,5.51,3.63,2.0,5.88,2.35,6.0,1.91,0.0,Protective Service
33-3031.00,Fish and Game Wardens,1.0,4.36,3.02,1.0,3.9,6.36,6.0,2.33,2.0,Protective Service
33-3041.00,Parking Enforcement Workers,1.0,5.47,3.14,1.0,1.42,6.35,6.0,2.58,0.0,Protective Service
33-3051.00,Police and Sheriff's Patrol Officers,1.07,4.35,4.09,1.0,2.75,5.37,6.0,3.43,5.0,Protective Service
33-3051.04,Customs and Border Protection Officers,1.0,5.27,4.32,6.0,2.64,3.41,5.0,2.62,1.0,Protective Service
33-3052.00,Transit and Railroad Police,1.0,5.06,3.28,1.0,2.42,5.87,6.0,2.55,0.0,Protective Service
33-9011.00,Animal Control Workers,1.0,3.85,2.11,1.0,3.58,5.93,6.0,2.59,2.0,Protective Service
33-9021.00,Private Detectives and Investigators,1.48,5.41,4.12,6.0,3.92,2.43,5.0,2.84,2.0,Protective Service
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,1.0,5.64,4.82,6.0,2.16,4.22,5.0,2.17,1.0,Protective Service
33-9032.00,Security Guards,1.0,4.87,2.95,1.0,2.2,6.2,6.0,2.78,0.0,Protective Service
33-9091.00,Crossing Guards and Flaggers,1.15,3.55,3.03,1.0,1.62,5.86,6.0,3.08,0.0,Protective Service
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.0,3.51,2.86,1.0,2.24,6.38,4.0,4.16,6.0,Protective Service
33-9093.00,Transportation Security Screeners,1.0,5.67,2.49,6.0,2.21,5.31,1.0,2.16,0.0,Protective Service
33-9094.00,School Bus Monitors,1.73,4.72,1.91,4.0,1.54,3.49,6.0,5.25,1.0,Protective Service
33-9099.02,Retail Loss Prevention Specialists,1.0,5.71,4.72,6.0,3.37,3.95,5.0,2.65,1.0,Protective Service
35-1011.00,Chefs and Head Cooks,2.73,4.43,5.16,5.0,1.61,4.87,1.0,2.95,6.0,Food Preparation and Serving Related
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,1.01,5.47,6.35,5.0,1.01,4.16,6.0,3.21,1.0,Food Preparation and Serving Related
35-2011.00,"Cooks, Fast Food",1.86,4.69,3.45,1.0,1.26,6.12,6.0,2.5,5.0,Food Preparation and Serving Related
35-2012.00,"Cooks, Institution and Cafeteria",1.98,4.41,3.01,1.0,1.89,5.93,6.0,3.06,0.0,Food Preparation and Serving Related
35-2013.00,"Cooks, Private Household",3.62,3.73,3.43,1.0,1.39,5.22,6.0,3.65,4.0,Food Preparation and Serving Related
35-2014.00,"Cooks, Restaurant",2.45,4.26,3.84,1.0,1.4,5.8,6.0,2.78,5.0,Food Preparation and Serving Related
35-2015.00,"Cooks, Short Order",2.32,4.36,3.53,1.0,1.0,6.11,6.0,3.2,5.0,Food Preparation and Serving Related
35-2021.00,Food Preparation Workers,1.75,4.26,2.23,1.0,1.39,6.47,6.0,2.5,0.0,Food Preparation and Serving Related
35-3011.00,Bartenders,2.39,4.39,3.79,1.0,1.0,4.98,6.0,3.53,5.0,Food Preparation and Serving Related
35-3023.00,Fast Food and Counter Workers,1.41,4.86,3.52,1.0,1.0,4.91,6.0,3.51,5.0,Food Preparation and Serving Related
35-3023.01,Baristas,2.6,4.28,3.48,1.0,1.0,5.08,6.0,3.74,4.0,Food Preparation and Serving Related
35-3031.00,Waiters and Waitresses,1.93,4.53,4.15,4.0,1.0,4.07,6.0,4.82,5.0,Food Preparation and Serving Related
35-3041.00,"Food Servers, Nonrestaurant",2.06,3.91,2.79,1.0,1.41,5.02,4.0,4.13,6.0,Food Preparation and Serving Related
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.02,4.6,2.27,1.0,1.0,5.61,6.0,3.67,4.0,Food Preparation and Serving Related
35-9021.00,Dishwashers,1.0,4.45,1.42,1.0,1.0,6.98,6.0,1.84,0.0,Food Preparation and Serving Related
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.78,3.84,4.19,4.0,1.0,3.35,5.0,5.2,6.0,Food Preparation and Serving Related
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,1.0,5.14,5.72,5.0,1.18,4.25,6.0,3.55,1.0,Building and Grounds Cleaning and Maintenance
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.03,5.21,6.11,5.0,1.78,4.5,6.0,2.99,1.0,Building and Grounds Cleaning and Maintenance
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.0,4.52,1.6,1.0,1.09,6.76,6.0,2.08,0.0,Building and Grounds Cleaning and Maintenance
37-2012.00,Maids and Housekeeping Cleaners,1.41,4.56,1.57,1.0,1.0,6.05,6.0,2.48,0.0,Building and Grounds Cleaning and Maintenance
37-2021.00,Pest Control Workers,1.0,4.18,2.33,1.0,3.1,6.54,6.0,1.8,0.0,Building and Grounds Cleaning and Maintenance
37-3011.00,Landscaping and Groundskeeping Workers,1.9,3.34,1.8,1.0,1.62,7.0,6.0,1.45,0.0,Building and Grounds Cleaning and Maintenance
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.06,3.58,1.52,1.0,2.84,6.37,6.0,1.93,0.0,Building and Grounds Cleaning and Maintenance
37-3013.00,Tree Trimmers and Pruners,1.0,3.09,1.26,1.0,2.15,7.0,6.0,1.78,0.0,Building and Grounds Cleaning and Maintenance
39-1013.00,First-Line Supervisors of Gambling Services Workers,1.0,5.5,5.93,5.0,1.0,3.7,6.0,3.02,1.0,Personal Care and Service
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",1.79,4.73,7.0,5.0,1.02,2.91,6.0,4.38,4.0,Personal Care and Service
39-1022.00,First-Line Supervisors of Personal Service Workers,1.29,4.98,6.75,5.0,1.08,3.37,6.0,4.02,4.0,Personal Care and Service
39-2011.00,Animal Trainers,1.77,3.01,2.15,1.0,2.25,6.45,4.0,3.6,0.0,Personal Care and Service
39-2021.00,Animal Caretakers,1.63,3.24,1.52,1.0,2.76,6.17,4.0,3.75,6.0,Personal Care and Service
39-3011.00,Gambling Dealers,1.06,5.47,5.23,6.0,1.0,3.69,5.0,2.17,1.0,Personal Care and Service
39-3012.00,Gambling and Sports Book Writers and Runners,1.02,5.97,4.99,6.0,1.0,2.78,5.0,2.92,0.0,Personal Care and Service
39-3021.00,Motion Picture Projectionists,2.98,4.58,2.08,1.0,1.95,5.42,6.0,2.02,0.0,Personal Care and Service
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1.39,4.61,4.18,4.0,1.0,3.34,6.0,4.75,5.0,Personal Care and Service
39-3091.00,Amusement and Recreation Attendants,1.74,4.6,3.95,6.0,1.0,4.16,4.0,4.38,1.0,Personal Care and Service
39-3092.00,Costume Attendants,5.89,3.85,3.07,3.0,1.0,3.57,6.0,3.45,1.0,Personal Care and Service
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",1.61,5.4,2.3,6.0,1.0,4.36,1.0,4.1,4.0,Personal Care and Service
39-4011.00,Embalmers,1.69,3.74,2.65,1.0,2.5,5.84,6.0,3.43,4.0,Personal Care and Service
39-4012.00,Crematory Operators,1.46,4.36,1.49,1.0,2.11,5.96,6.0,2.73,0.0,Personal Care and Service
39-4021.00,Funeral Attendants,2.02,4.15,3.32,1.0,1.01,4.65,4.0,4.17,6.0,Personal Care and Service
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",1.58,4.91,4.59,6.0,1.39,3.74,5.0,4.3,4.0,Personal Care and Service
39-5011.00,Barbers,2.72,3.9,3.62,1.0,1.0,5.36,6.0,3.61,5.0,Personal Care and Service
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.23,3.94,3.25,1.0,1.53,5.41,6.0,3.71,4.0,Personal Care and Service
39-5091.00,"Makeup Artists, Theatrical and Performance",6.84,2.69,2.96,3.0,1.49,4.39,1.0,3.04,0.0,Personal Care and Service
39-5092.00,Manicurists and Pedicurists,2.3,3.68,2.29,1.0,1.32,5.72,6.0,2.96,0.0,Personal Care and Service
39-5093.00,Shampooers,1.56,3.37,2.47,1.0,1.35,5.53,4.0,3.75,6.0,Personal Care and Service
39-5094.00,Skincare Specialists,2.92,3.15,3.01,1.0,2.06,5.8,4.0,4.06,0.0,Personal Care and Service
39-6011.00,Baggage Porters and Bellhops,1.0,4.77,2.67,1.0,1.0,4.87,6.0,3.56,4.0,Personal Care and Service
39-6012.00,Concierges,2.18,4.45,4.64,4.0,1.0,2.65,5.0,5.34,6.0,Personal Care and Service
39-7011.00,Tour Guides and Escorts,3.3,2.99,3.68,4.0,2.38,3.35,5.0,5.14,0.0,Personal Care and Service
39-7012.00,Travel Guides,2.41,4.12,4.45,4.0,2.49,2.7,5.0,4.91,6.0,Personal Care and Service
39-9011.00,Childcare Workers,3.52,3.61,2.92,4.0,1.3,3.35,6.0,5.94,3.0,Personal Care and Service
39-9011.01,Nannies,3.8,3.29,2.8,4.0,2.05,2.97,3.0,6.1,0.0,Personal Care and Service
39-9031.00,Exercise Trainers and Group Fitness Instructors,2.6,2.75,3.4,4.0,2.86,4.98,1.0,5.65,0.0,Personal Care and Service
39-9032.00,Recreation Workers,3.05,3.45,4.51,4.0,1.98,3.75,5.0,4.9,1.0,Personal Care and Service
39-9041.00,Residential Advisors,2.29,4.53,3.77,4.0,2.46,2.63,6.0,5.45,5.0,Personal Care and Service
41-1011.00,First-Line Supervisors of Retail Sales Workers,1.0,5.54,7.0,5.0,1.12,2.75,6.0,3.74,4.0,Sales and Related
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1.0,5.33,7.0,5.0,1.03,1.9,6.0,4.05,4.0,Sales and Related
41-2011.00,Cashiers,1.0,6.06,3.66,6.0,1.02,2.8,5.0,2.73,0.0,Sales and Related
41-2012.00,Gambling Change Persons and Booth Cashiers,1.07,6.48,4.22,6.0,1.0,2.96,5.0,2.47,0.0,Sales and Related
41-2021.00,Counter and Rental Clerks,1.21,6.08,3.69,6.0,1.0,3.12,5.0,3.27,4.0,Sales and Related
41-2022.00,Parts Salespersons,1.0,5.46,4.0,6.0,1.35,5.31,1.0,2.11,5.0,Sales and Related
41-2031.00,Retail Salespersons,2.09,5.04,6.08,5.0,1.0,3.3,6.0,2.98,0.0,Sales and Related
41-3011.00,Advertising Sales Agents,3.54,4.73,6.71,5.0,1.47,1.06,6.0,2.89,3.0,Sales and Related
41-3021.00,Insurance Sales Agents,1.18,5.3,5.84,5.0,2.29,1.1,6.0,3.69,4.0,Sales and Related
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",1.29,5.27,6.08,5.0,2.53,1.25,6.0,3.08,0.0,Sales and Related
41-3041.00,Travel Agents,1.93,5.72,5.77,5.0,1.48,1.23,6.0,4.32,4.0,Sales and Related
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.44,5.09,6.71,5.0,1.94,1.09,6.0,3.73,4.0,Sales and Related
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.51,5.03,5.39,5.0,3.15,2.84,6.0,2.98,0.0,Sales and Related
41-4011.07,Solar Sales Representatives and Assessors,1.39,4.43,5.56,5.0,2.73,3.52,6.0,2.75,1.0,Sales and Related
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.69,4.89,6.09,5.0,2.3,2.64,6.0,2.63,0.0,Sales and Related
41-9011.00,Demonstrators and Product Promoters,3.23,3.65,5.32,5.0,1.8,3.43,6.0,3.16,0.0,Sales and Related
41-9012.00,Models,7.0,2.04,3.64,3.0,1.0,4.8,1.0,2.71,5.0,Sales and Related
41-9021.00,Real Estate Brokers,1.0,5.61,6.43,5.0,1.54,2.62,6.0,2.96,0.0,Sales and Related
41-9022.00,Real Estate Sales Agents,1.93,5.11,6.43,5.0,1.46,2.02,6.0,3.5,4.0,Sales and Related
41-9031.00,Sales Engineers,1.79,4.49,5.81,5.0,3.66,3.16,6.0,2.87,0.0,Sales and Related
41-9041.00,Telemarketers,1.39,5.09,5.19,5.0,1.19,1.86,6.0,3.62,4.0,Sales and Related
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2.02,4.72,5.5,5.0,1.0,3.57,6.0,2.76,1.0,Sales and Related
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1.0,5.68,6.96,5.0,1.35,1.61,6.0,4.33,4.0,Office and Administrative Support
43-2011.00,"Switchboard Operators, Including Answering Service",1.0,5.96,3.18,6.0,1.39,3.6,1.0,2.91,5.0,Office and Administrative Support
43-2021.00,Telephone Operators,1.0,6.19,3.36,6.0,1.04,2.82,4.0,4.56,5.0,Office and Administrative Support
43-3011.00,Bill and Account Collectors,1.0,7.0,4.38,6.0,1.0,2.04,5.0,3.24,4.0,Office and Administrative Support
43-3021.00,Billing and Posting Clerks,1.0,7.0,2.75,6.0,1.68,2.69,0.0,1.49,0.0,Office and Administrative Support
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1.0,7.0,2.89,6.0,2.17,1.65,5.0,1.47,0.0,Office and Administrative Support
43-3041.00,Gambling Cage Workers,1.0,5.97,4.63,6.0,1.0,2.83,5.0,2.85,0.0,Office and Administrative Support
43-3051.00,Payroll and Timekeeping Clerks,1.0,7.0,3.4,6.0,1.0,1.58,5.0,2.05,0.0,Office and Administrative Support
43-3061.00,Procurement Clerks,1.0,7.0,4.31,6.0,1.63,3.01,5.0,1.66,0.0,Office and Administrative Support
43-3071.00,Tellers,1.0,6.89,4.19,6.0,1.43,2.29,5.0,2.43,0.0,Office and Administrative Support
43-4011.00,Brokerage Clerks,1.0,6.97,4.51,6.0,1.26,2.08,5.0,2.32,0.0,Office and Administrative Support
43-4021.00,Correspondence Clerks,1.62,6.74,3.39,6.0,2.47,1.27,5.0,2.74,0.0,Office and Administrative Support
43-4031.00,"Court, Municipal, and License Clerks",1.12,6.13,4.24,6.0,1.91,2.0,5.0,3.5,4.0,Office and Administrative Support
43-4041.00,"Credit Authorizers, Checkers, and Clerks",1.0,7.0,4.47,6.0,1.85,1.0,5.0,3.39,4.0,Office and Administrative Support
43-4051.00,Customer Service Representatives,1.0,6.16,5.11,6.0,1.62,2.05,5.0,3.84,4.0,Office and Administrative Support
43-4061.00,"Eligibility Interviewers, Government Programs",1.0,6.35,3.93,6.0,2.46,1.0,4.0,4.44,5.0,Office and Administrative Support
43-4071.00,File Clerks,1.15,7.0,1.66,6.0,1.38,2.53,0.0,1.92,0.0,Office and Administrative Support
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",1.33,5.71,3.81,6.0,1.0,2.62,4.0,4.48,5.0,Office and Administrative Support
43-4111.00,"Interviewers, Except Eligibility and Loan",1.38,6.01,3.66,6.0,1.92,1.0,4.0,4.13,5.0,Office and Administrative Support
43-4121.00,"Library Assistants, Clerical",1.3,6.89,2.19,6.0,2.01,2.91,4.0,3.78,0.0,Office and Administrative Support
43-4131.00,Loan Interviewers and Clerks,1.0,6.93,4.61,6.0,2.16,1.0,5.0,3.4,4.0,Office and Administrative Support
43-4141.00,New Accounts Clerks,1.0,7.0,4.66,6.0,1.76,1.54,5.0,3.55,4.0,Office and Administrative Support
43-4151.00,Order Clerks,1.0,7.0,4.53,6.0,1.0,2.51,5.0,2.51,0.0,Office and Administrative Support
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1.0,7.0,3.86,6.0,1.36,1.49,5.0,3.22,4.0,Office and Administrative Support
43-4171.00,Receptionists and Information Clerks,1.0,6.23,4.23,6.0,1.92,1.87,5.0,3.63,4.0,Office and Administrative Support
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,1.27,5.66,4.02,6.0,1.0,2.12,4.0,4.36,5.0,Office and Administrative Support
43-5011.00,Cargo and Freight Agents,1.0,6.33,4.82,6.0,1.5,3.14,5.0,2.14,0.0,Office and Administrative Support
43-5011.01,Freight Forwarders,1.0,5.75,3.92,6.0,2.43,3.34,5.0,1.89,1.0,Office and Administrative Support
